事業名,部署名,開始年度,事業の目的,現在の事業概要
民間企業経営者に学ぶ組織リーダー養成研修,総務課,2016,民間経営者の経営感覚や戦略を直に学ぶことを通して、組織活性化のための方策やトップに求められる能力等を理解するとともに、行政経営のヒントになるような課題解決力・組織のマネジメントに必要なリーダーシップ等の修得を目指す。,"■コンセプト　経営リーダーシップのある職員
■研修内容　　課長補佐級以上の職員を対象にした大手企業経営者等による講義
※コスト意識、仕事の進め方(PDCA)、グローバル思考といった民間手法や経営指標、また、民間企業を取り巻く最新の動向などについて、企業経営者の考え方、戦略やビジョンを直に学ぶ。"
賢い消費生活啓発事業（寸劇による消費者契約被害予防啓発）,市民窓口課,0,,
"災害ボランティアセンター
連絡会支援事業",市民まちづくり課,2005,,
在住外国人生活支援事業,市民まちづくり課,2006,,
サバヌシ総会事業,市民まちづくり課,2007,,
"多文化共生(生活支援)推
進事業",市民まちづくり課,2006,,
区長逓送業務委託事業,市民まちづくり課,0,,
"市民まちづくり応援団養成
講座",市民まちづくり課,2013,,
防災資機材備蓄管理事業,防災危機管理課,0,,
防災リーダー養成講座事 業,防災危機管理課,2009,,
"こども防災チャレンジ親子
講座と小学・中学防災出
前講座",防災危機管理課,2016,,
"【防育事業】
地区防災出前講座",防災危機管理課,2016,,
"【防育事業】
自主防災組織研修",防災危機管理課,2016,,
空き家よろず相談業務,防災危機管理課,2020,,
"男女共同参画啓発事業
（情報誌発行）",めがねのまちさばえ戦 略課,2004,,
"男女の社会参画促進事業
（男と女共生講座等）",めがねのまちさばえ戦 略課,2003,,
"ワーク・ライフ・バランス推
進業務",めがねのまちさばえ戦 略課,2018,,
"選べるワークスタイル推進
事業",めがねのまちさばえ戦 略課,2018,,
"男女共同参画地域推進事
業（地域啓発推進事業）",めがねのまちさばえ戦 略課,2011,,
"「全国OCサミットin鯖江」開
催事業",めがねのまちさばえ戦 略課,2016,,
"シェアリングシティさばえ
推進事業",めがねのまちさばえ戦 略課,2019,,
"「ふるさと鯖江の日」記念
事業　※記念コンサート部
分のみ",秘書広報課,2009,,
ＩＴのまち鯖江推進事業,情報統計政策課,2011,,
"ＩＴに親しむ講座事業
（ＩＴ活用等）",情報統計政策課,2014,,
いきがい講座,長寿福祉課,0,,
認知症サポーター養成講 座,長寿福祉課,2018,,
出会い交流サポート事業,子育て支援課,2005,,
"地域子育て支援センター
事業（子育てサポーター養
成講座事業）",子育て支援課,1998,,
"出会い交流サポート事業
（さばえものつくり合コン）",子育て支援課,2015,,
"保健対策推進事業（食と
健康・福祉フェア）",健康づくり課,0,,
"市町村保健対策推進事業
（まるごと眼の健康づくり
事業）",健康づくり課,2017,,
サテライトオフィス誘致事 業,商工政策課,2017,,
"鯖江市役所JK課プロジェ
クト
サポート事業",商工政策課にぎわい 推進室,2020,,
若者による地域活性化推 進事業,商工政策課にぎわい 推進室,2009,,
日中外国語大学と地域住 民との「絆」交流促進事業,商工政策課にぎわい 推進室,2012,,
街なか彩り推進事業,商工政策課にぎわい 推進室,2017,,
地産地消推進「さばえの 味再発見」事業,農林政策課,2011,,
食の安全安心講座,農林政策課,2012,,
環境活動表彰事業,環境政策課,2000,,
まち美化活動表彰事業,環境政策課,2017,,
畜犬登録事業,環境政策課,0,,
廃棄物分別啓発事業,環境政策課,0,,
ごみ減量化・資源化市民 啓発事業,環境政策課,0,,
グリーンカーテン普及促進 事業,環境政策課,2011,,
さばＥＣＯ（鯖江っ子）ストッ プ温暖化チャレンジ事業 ※一部,環境政策課,2012,,
"COOLCHOICE＆SDGs普
及啓発事業",環境政策課,2019,,
"日野川砂礫河原再生事業
（体験型イベントのみ）",土木課,2012,,
西山公園松堂庵呈茶もて なし事業,都市計画課,2012,,
クリエイティブ教育都市事 業,学校教育課,2015,,
体育大好き支援事業（小 学校）,学校教育課,2016,,
体育大好き支援事業（中 学校）,学校教育課,2016,,
家族ふれあい事業,生涯学習・スポーツ課,2011,,
幼児体操ふれあい事業,生涯学習・スポーツ課,2007,,
近松講座,文化課,1996,,
まちかど歴史浪漫コン サート,文化課,2006,,