事業名,自治体名,部署名,開始年度,合併事業名,提案総事業費(千円),自己負担額(千円),委託額(千円)
民間企業経営者に学ぶ組織リーダー養成研修,福井県鯖江市,総務課,2016,,165,0,165
賢い消費生活啓発事業（寸劇による消費者契約被害予防啓発）,福井県鯖江市,市民窓口課,0,,100,0,100
災害ボランティアセンター連絡会支援事業,福井県鯖江市,市民まちづくり課,2005,,58,0,58
在住外国人生活支援事業,福井県鯖江市,市民まちづくり課,2006,,305,0,305
サバヌシ総会事業,福井県鯖江市,市民まちづくり課,2007,,400,0,400
多文化共生(生活支援)推進事業,福井県鯖江市,市民まちづくり課,2006,,231,50,181
区長逓送業務委託事業,福井県鯖江市,市民まちづくり課,0,,762,0,762
市民まちづくり応援団養成講座,福井県鯖江市,市民まちづくり課,2013,,200,0,200
防災資機材備蓄管理事業,福井県鯖江市,防災危機管理課,0,,420,0,420
防災リーダー養成講座事業,福井県鯖江市,防災危機管理課,2009,,315,0,315
こども防災チャレンジ親子講座と小学・中学防災出前講座,福井県鯖江市,防災危機管理課,2016,,887,0,887
【防育事業】地区防災出前講座,福井県鯖江市,防災危機管理課,2016,こども防災チャレンジ親子講座と小学・中学防災出前講座,0,0,0
【防育事業】自主防災組織研修,福井県鯖江市,防災危機管理課,2016,こども防災チャレンジ親子講座と小学・中学防災出前講座,0,0,0
空き家よろず相談業務,福井県鯖江市,防災危機管理課,2020,,240,0,240
男女共同参画啓発事業（情報誌発行）,福井県鯖江市,めがねのまちさばえ戦略課,2004,,1486,0,1486
男女の社会参画促進事業（男と女共生講座等）,福井県鯖江市,めがねのまちさばえ戦略課,2003,,1870,0,1870
ワーク・ライフ・バランス推進業務,福井県鯖江市,めがねのまちさばえ戦略課,2018,,350,0,350
選べるワークスタイル推進事業,福井県鯖江市,めがねのまちさばえ戦略課,2018,,600,60,540
男女共同参画地域推進事業（地域啓発推進事業）,福井県鯖江市,めがねのまちさばえ戦略課,2011,男女の社会参画促進事業（男と女共生講座等）,0,0,0
「全国OCサミットin鯖江」開催事業,福井県鯖江市,めがねのまちさばえ戦略課,2016,,500,0,500
シェアリングシティさばえ推進事業,福井県鯖江市,めがねのまちさばえ戦略課,2019,,884,0,884
「ふるさと鯖江の日」記念事業※記念コンサート部分のみ,福井県鯖江市,秘書広報課,2009,,452,0,452
ＩＴのまち鯖江推進事業,福井県鯖江市,情報統計政策課,2011,,800,0,800
ＩＴに親しむ講座事業（ＩＴ活用等）,福井県鯖江市,情報統計政策課,2014,,1000,0,1000
いきがい講座,福井県鯖江市,長寿福祉課,0,,5148,0,5148
認知症サポーター養成講座,福井県鯖江市,長寿福祉課,2018,,350,0,350
出会い交流サポート事業,福井県鯖江市,子育て支援課,2005,,400,0,400
地域子育て支援センター事業（子育てサポーター養成講座事業）,福井県鯖江市,子育て支援課,1998,,330,0,330
出会い交流サポート事業（さばえものつくり合コン）,福井県鯖江市,子育て支援課,2015,,600,0,600
保健対策推進事業（食と健康・福祉フェア）,福井県鯖江市,健康づくり課,0,,1983,0,1983
市町村保健対策推進事業（まるごと眼の健康づくり事業）,福井県鯖江市,健康づくり課,2017,,200,0,200
サテライトオフィス誘致事業,福井県鯖江市,商工政策課,2017,,800,0,800
鯖江市役所JK課プロジェクトサポート事業,福井県鯖江市,商工政策課にぎわい推進室,2020,,634,0,634
若者による地域活性化推進事業,福井県鯖江市,商工政策課にぎわい推進室,2009,,1550,200,1350
日中外国語大学と地域住民との「絆」交流促進事業,福井県鯖江市,商工政策課にぎわい推進室,2012,,350,0,350
街なか彩り推進事業,福井県鯖江市,商工政策課にぎわい推進室,2017,,250,0,250
地産地消推進「さばえの味再発見」事業,福井県鯖江市,農林政策課,2011,,450,0,450
食の安全安心講座,福井県鯖江市,農林政策課,2012,,350,0,350
環境活動表彰事業,福井県鯖江市,環境政策課,2000,,327,0,327
まち美化活動表彰事業,福井県鯖江市,環境政策課,2017,環境活動表彰事業,0,0,0
畜犬登録事業,福井県鯖江市,環境政策課,0,,486,0,486
廃棄物分別啓発事業,福井県鯖江市,環境政策課,0,,400,0,400
ごみ減量化・資源化市民啓発事業,福井県鯖江市,環境政策課,0,廃棄物分別啓発事業,0,0,0
グリーンカーテン普及促進事業,福井県鯖江市,環境政策課,2011,,1001,0,1001
さばＥＣＯ（鯖江っ子）ストップ温暖化チャレンジ事業※一部,福井県鯖江市,環境政策課,2012,,5000,0,5000
COOLCHOICE＆SDGs普及啓発事業,福井県鯖江市,環境政策課,2019,,467,0,467
日野川砂礫河原再生事業（体験型イベントのみ）,福井県鯖江市,土木課,2012,,190,0,190
西山公園松堂庵呈茶もてなし事業,福井県鯖江市,都市計画課,2012,,190,0,190
クリエイティブ教育都市事業,福井県鯖江市,学校教育課,2015,,700,0,700
体育大好き支援事業（小学校）,福井県鯖江市,学校教育課,2016,,2035,0,2035
体育大好き支援事業（中学校）,福井県鯖江市,学校教育課,2016,体育大好き支援事業（小学校）,0,0,0
家族ふれあい事業,福井県鯖江市,生涯学習・スポーツ課,2011,,753,0,753
幼児体操ふれあい事業,福井県鯖江市,生涯学習・スポーツ課,2007,,855,0,855
近松講座,福井県鯖江市,文化課,1996,,80,0,80
まちかど歴史浪漫コンサート,福井県鯖江市,文化課,2006,,1100,0,1100